#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10500,20.99999999999924,-64103.46032473317,12337.099454977335,-51766.36086975584,300.12378759030264,48.093524275896,1.022260231370208,0
11000,21.999999999998685,-63807.66936213197,12421.671460575997,-51385.99790155597,302.18116507493806,48.093524275896,1.022260231370208,781
11500,22.99999999999813,-63444.15338039084,12181.537835518344,-51262.6155448725,296.33945055013413,48.093524275896,1.022260231370208,776
12000,23.999999999997577,-64046.39830219204,12139.47595591366,-51906.922346278385,295.31621403767883,48.093524275896,1.022260231370208,773
12500,24.999999999997023,-63883.09867506864,12560.864660233397,-51322.234014835245,305.56730866893645,48.093524275896,1.022260231370208,769
13000,25.99999999999647,-63963.030920631194,12471.529427111784,-51491.50149351941,303.39405646913315,48.093524275896,1.022260231370208,770
13500,26.999999999995914,-63531.93839840253,12412.603620972799,-51119.334777429736,301.96057235159134,48.093524275896,1.022260231370208,771
14000,27.99999999999536,-63344.822349722264,12189.747579711528,-51155.07477001074,296.5391684442305,48.093524275896,1.022260231370208,771
14500,28.999999999994806,-63622.05923158268,12557.083836723225,-51064.97539485946,305.47533283002673,48.093524275896,1.022260231370208,770
15000,29.99999999999425,-63470.84727835795,11985.39303655929,-51485.45424179866,291.5678492353713,48.093524275896,1.022260231370208,772
15500,30.999999999993697,-63520.39542427455,12211.06747720874,-51309.327947065816,297.0578161548412,48.093524275896,1.022260231370208,764
16000,31.999999999993143,-63669.796457067656,12048.297371873137,-51621.49908519452,293.09811876421304,48.093524275896,1.022260231370208,765
16500,32.999999999994365,-63623.753925789206,12393.293085105075,-51230.46084068413,301.49080624601925,48.093524275896,1.022260231370208,766
17000,33.99999999999559,-63852.80662847485,12763.968027023868,-51088.83860145098,310.50819059470433,48.093524275896,1.022260231370208,768
17500,34.99999999999681,-63786.31492911733,12606.449457594243,-51179.86547152309,306.67624696439236,48.093524275896,1.022260231370208,767
18000,35.99999999999803,-63852.00954586215,12476.83376900245,-51375.1757768597,303.5230948370826,48.093524275896,1.022260231370208,768
18500,36.999999999999254,-63689.30485536938,12570.700333601155,-51118.604521768226,305.8065804325633,48.093524275896,1.022260231370208,769
19000,38.000000000000476,-63922.914845199906,12165.635013762794,-51757.27983143711,295.9525836762739,48.093524275896,1.022260231370208,770
19500,39.0000000000017,-63834.21763292892,11996.170546720221,-51838.0470862087,291.830032999237,48.093524275896,1.022260231370208,770
20000,40.00000000000292,-63744.65515275055,12060.770775695626,-51683.88437705493,293.40155841897223,48.093524275896,1.022260231370208,770
20500,41.00000000000414,-63807.84029866464,12277.091575548704,-51530.74872311593,298.6639799487166,48.093524275896,1.022260231370208,770
21000,42.000000000005365,-63386.152002129646,12130.204521268903,-51255.94748086074,295.0906684714673,48.093524275896,1.022260231370208,770
21500,43.00000000000659,-63584.71640238125,12328.586259774143,-51256.13014260711,299.9166876639219,48.093524275896,1.022260231370208,771
22000,44.00000000000781,-64004.67549719795,12324.43528404188,-51680.240213156074,299.8157071568336,48.093524275896,1.022260231370208,771
22500,45.00000000000903,-63890.39765328617,12375.860086624158,-51514.53756666201,301.0667148660119,48.093524275896,1.022260231370208,772
23000,46.00000000001025,-63796.51473161869,12871.56911117444,-50924.945620444254,313.1257949223621,48.093524275896,1.022260231370208,772
23500,47.000000000011475,-63950.90651075798,12356.673615207368,-51594.23289555061,300.5999668679826,48.093524275896,1.022260231370208,772
24000,48.0000000000127,-63787.37939294212,12360.668310116493,-51426.71108282563,300.6971455420112,48.093524275896,1.022260231370208,772
24500,49.00000000001392,-63847.57444205356,12370.536506366792,-51477.03793568677,300.93720848761143,48.093524275896,1.022260231370208,772
25000,50.00000000001514,-63873.70330011664,12433.245745234439,-51440.4575548822,302.4627319183454,48.093524275896,1.022260231370208,772
25500,51.000000000016364,-63576.95998130605,12017.448582635176,-51559.511398670875,292.34766234595526,48.093524275896,1.022260231370208,772
26000,52.000000000017586,-63906.301784787735,12445.22408039074,-51461.077704396994,302.75412807100304,48.093524275896,1.022260231370208,772
26500,53.00000000001881,-63890.345017894404,12230.718738643565,-51659.626279250835,297.53587106833766,48.093524275896,1.022260231370208,773
27000,54.00000000002003,-63640.233429531334,12319.897457948326,-51320.33597158301,299.7053157670589,48.093524275896,1.022260231370208,773
27500,55.00000000002125,-63544.85639966745,12173.450125847701,-51371.406273819746,296.14270138164903,48.093524275896,1.022260231370208,773
28000,56.000000000022474,-63723.93147076189,12498.678893744558,-51225.25257701733,304.0545197155081,48.093524275896,1.022260231370208,772
28500,57.0000000000237,-63782.59089205664,12585.52874827972,-51197.06214377692,306.1673102778184,48.093524275896,1.022260231370208,772
29000,58.00000000002492,-63657.090105332085,12378.352019627351,-51278.73808570473,301.12733595235966,48.093524275896,1.022260231370208,772
29500,59.00000000002614,-63556.525144489075,12504.456854562524,-51052.06828992655,304.1950797792058,48.093524275896,1.022260231370208,772
30000,60.00000000002736,-63647.42008810741,12564.5209775194,-51082.899110588005,305.65625565331567,48.093524275896,1.022260231370208,773
30500,61.000000000028585,-63530.07122185896,12402.491097491196,-51127.58012436776,301.71456567388964,48.093524275896,1.022260231370208,772
31000,62.00000000002981,-63476.98529249703,12443.725703502298,-51033.25958899473,302.71767715734717,48.093524275896,1.022260231370208,772
31500,63.00000000003103,-63809.480796714895,12444.90239643237,-51364.578400282524,302.7463024870118,48.093524275896,1.022260231370208,772
32000,64.00000000003224,-63709.626387019,12429.951334367826,-51279.675052651175,302.3825890070578,48.093524275896,1.022260231370208,772
32500,65.00000000002991,-63828.085419392504,12535.940346154743,-51292.14507323776,304.96097655889105,48.093524275896,1.022260231370208,773
33000,66.00000000002758,-63971.46121061203,12441.449197108626,-51530.01201350341,302.6622967396213,48.093524275896,1.022260231370208,772
33500,67.00000000002525,-64128.809588050644,12502.106904737213,-51626.70268331343,304.1379127080645,48.093524275896,1.022260231370208,772
34000,68.00000000002292,-63598.255953032814,12323.275659045989,-51274.980293986824,299.78749703765436,48.093524275896,1.022260231370208,772
34500,69.00000000002059,-63258.73481224314,12176.748618230018,-51081.98619401312,296.22294358369436,48.093524275896,1.022260231370208,772
35000,70.00000000001826,-63335.38058790943,12232.558090100612,-51102.82249780882,297.58061684736083,48.093524275896,1.022260231370208,772
35500,71.00000000001593,-63637.865674693545,12648.691765594907,-50989.17390909864,307.70387274628564,48.093524275896,1.022260231370208,772
36000,72.0000000000136,-63795.6012079161,12355.943066236778,-51439.65814167932,300.58219485237436,48.093524275896,1.022260231370208,772
36500,73.00000000001127,-63404.354266661336,12630.808978231129,-50773.54528843021,307.26883938241633,48.093524275896,1.022260231370208,772
37000,74.00000000000894,-63359.21813416341,12610.021502406915,-50749.196631756495,306.7631438579883,48.093524275896,1.022260231370208,772
37500,75.00000000000661,-63549.76357883861,12482.790138230506,-51066.973440608104,303.66799503015756,48.093524275896,1.022260231370208,772
38000,76.00000000000428,-63561.25796908577,12253.415223379556,-51307.84274570621,298.0880069239988,48.093524275896,1.022260231370208,773
38500,77.00000000000195,-63847.07966861699,12357.243381540862,-51489.836287076134,300.61382753520616,48.093524275896,1.022260231370208,773
39000,77.99999999999962,-64592.29123347794,12110.432673900397,-52481.858559577544,294.6096800720831,48.093524275896,1.022260231370208,773
39500,78.99999999999729,-64049.15536605177,12331.959407665954,-51717.19595838581,299.9987460055189,48.093524275896,1.022260231370208,773
40000,79.99999999999496,-63709.396455329086,12503.391439646764,-51206.00501568232,304.1691615023012,48.093524275896,1.022260231370208,773
40500,80.99999999999262,-63536.988226353715,12675.42870746593,-50861.559518887785,308.35430053056325,48.093524275896,1.022260231370208,773
41000,81.9999999999903,-63814.76108975854,12171.273448319085,-51643.48764143945,296.08974949400033,48.093524275896,1.022260231370208,773
41500,82.99999999998796,-63931.23200827459,12275.80274007612,-51655.429268198466,298.6326265349726,48.093524275896,1.022260231370208,774
42000,83.99999999998563,-63560.40494680038,12319.49961933001,-51240.90532747037,299.69563757378387,48.093524275896,1.022260231370208,773
42500,84.9999999999833,-63980.01250792766,12405.45932606423,-51574.55318186343,301.7867735704883,48.093524275896,1.022260231370208,774
43000,85.99999999998097,-63766.91562386829,12028.272140431083,-51738.643483437205,292.610966307536,48.093524275896,1.022260231370208,774
43500,86.99999999997864,-63542.317170628696,12247.796235724902,-51294.52093490379,297.9513141897389,48.093524275896,1.022260231370208,774
44000,87.99999999997631,-63878.99746038666,12307.304762309279,-51571.69269807738,299.3989741083121,48.093524275896,1.022260231370208,774
44500,88.99999999997398,-63775.64849743055,12075.172040753225,-51700.47645667732,293.7518970241648,48.093524275896,1.022260231370208,774
45000,89.99999999997165,-63964.28397845308,12167.998446370313,-51796.285532082766,296.01007874215,48.093524275896,1.022260231370208,774
45500,90.99999999996932,-63951.55466980755,12159.23068746112,-51792.323982346425,295.79678606163714,48.093524275896,1.022260231370208,774
46000,91.99999999996699,-63861.90605570731,12431.654079106152,-51430.251976601154,302.42401156363445,48.093524275896,1.022260231370208,774
46500,92.99999999996466,-63636.34942395118,12464.48767669525,-51171.86174725593,303.2227522809819,48.093524275896,1.022260231370208,774
47000,93.99999999996233,-63390.196535855765,12414.801824206717,-50975.394711649045,302.0140478936233,48.093524275896,1.022260231370208,774
47500,94.99999999996,-63492.251922459865,12505.307872043282,-50986.94405041658,304.21578242414785,48.093524275896,1.022260231370208,774
48000,95.99999999995767,-64144.10801477422,12379.559216353577,-51764.54879842064,301.156703345819,48.093524275896,1.022260231370208,774
48500,96.99999999995534,-64055.56239241274,12575.555618807111,-51480.00677360563,305.9246946287859,48.093524275896,1.022260231370208,774
49000,97.999999999953,-63235.353582387965,11945.91971669778,-51289.43386569018,290.6075844414597,48.093524275896,1.022260231370208,774
49500,98.99999999995067,-63743.55876697932,12387.522990312802,-51356.03577666651,301.3504375385989,48.093524275896,1.022260231370208,774
50000,99.99999999994834,-63275.18164676853,12056.621992578834,-51218.559654189696,293.30063125149286,48.093524275896,1.022260231370208,773
50500,100.99999999994601,-63892.27986791835,12398.481100947807,-51493.79876697054,301.6170147580347,48.093524275896,1.022260231370208,773
51000,101.99999999994368,-63593.39578999911,12264.044645856517,-51329.351144142594,298.3465881687497,48.093524275896,1.022260231370208,773
51500,102.99999999994135,-63820.86625299323,12435.797055245283,-51385.06919774795,302.5247974651594,48.093524275896,1.022260231370208,773
52000,103.99999999993902,-63607.287869349355,12284.339609698261,-51322.94825965109,298.8403023873487,48.093524275896,1.022260231370208,773
52500,104.99999999993669,-63548.51619942847,12264.179054911267,-51284.33714451721,298.34985792877274,48.093524275896,1.022260231370208,773
53000,105.99999999993436,-63697.35659023374,12632.120566507054,-51065.23602372669,307.30074630207486,48.093524275896,1.022260231370208,773
53500,106.99999999993203,-63684.01712946175,12224.850698036174,-51459.166431425576,297.3931196396691,48.093524275896,1.022260231370208,773
54000,107.9999999999297,-63631.564629633445,11975.357938217816,-51656.20669141563,291.3237260738392,48.093524275896,1.022260231370208,773
54500,108.99999999992737,-63947.44792251912,12252.863793009501,-51694.58412950962,298.074592314523,48.093524275896,1.022260231370208,773
55000,109.99999999992504,-63824.00078817137,12420.049784172425,-51403.95100399894,302.14171466228134,48.093524275896,1.022260231370208,773
55500,110.99999999992271,-63766.27622154332,12369.884816735497,-51396.39140480782,300.92135487783946,48.093524275896,1.022260231370208,773
56000,111.99999999992038,-63751.109499029524,12571.968929533712,-51179.14056949581,305.8374414803801,48.093524275896,1.022260231370208,773
