#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10500,20.99999999999924,-63728.88550939673,12185.025461548237,-51543.86004784849,296.4242937936866,48.093524275896,1.022260231370208,0
11000,21.999999999998685,-63622.83737177838,12345.136412749429,-51277.70095902895,300.3193021207696,48.093524275896,1.022260231370208,764
11500,22.99999999999813,-64040.776519576495,12488.840985255702,-51551.93553432079,303.8151935782408,48.093524275896,1.022260231370208,760
12000,23.999999999997577,-64233.59879815922,12399.239752269072,-51834.359045890145,301.63547041763525,48.093524275896,1.022260231370208,761
12500,24.999999999997023,-63664.7209028115,12325.38909578167,-51339.331807029834,299.8389104707923,48.093524275896,1.022260231370208,761
13000,25.99999999999647,-63646.10928148945,12288.378142567288,-51357.731138922165,298.93854750447565,48.093524275896,1.022260231370208,764
13500,26.999999999995914,-63848.942087984935,12595.230270928249,-51253.71181705668,306.40331856593303,48.093524275896,1.022260231370208,767
14000,27.99999999999536,-63561.78097090655,12375.5361383934,-51186.24483251315,301.05883419921884,48.093524275896,1.022260231370208,764
14500,28.999999999994806,-63829.9272501088,12282.203010230864,-51547.724239877934,298.7883254759962,48.093524275896,1.022260231370208,765
15000,29.99999999999425,-63721.21026868204,12147.630897443989,-51573.579371238055,295.5145987510867,48.093524275896,1.022260231370208,766
15500,30.999999999993697,-63927.64591869764,12308.299277649432,-51619.34664104821,299.42316761601563,48.093524275896,1.022260231370208,761
16000,31.999999999993143,-63585.89359000046,12286.15479726593,-51299.738792734526,298.88446033306224,48.093524275896,1.022260231370208,759
16500,32.999999999994365,-63697.59807631449,12524.374437767094,-51173.223638547395,304.6796134844592,48.093524275896,1.022260231370208,761
17000,33.99999999999559,-63391.900773694506,12303.247132691029,-51088.653641003475,299.3002644258529,48.093524275896,1.022260231370208,763
17500,34.99999999999681,-63667.71356119303,12094.78702270229,-51572.926538490734,294.2290693690545,48.093524275896,1.022260231370208,763
18000,35.99999999999803,-63782.828368606104,12175.707634227856,-51607.120734378244,296.1976196359795,48.093524275896,1.022260231370208,764
