#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10500,20.99999999999924,-63787.625686511106,12660.99355708577,-51126.632129425336,308.00313759941076,48.093524275896,1.022260231370208,0
11000,21.999999999998685,-63456.48719524406,11881.758646066952,-51574.7285491771,289.04674239719753,48.093524275896,1.022260231370208,779
11500,22.99999999999813,-63801.89198568161,12307.861702584745,-51494.03028309686,299.4125227568858,48.093524275896,1.022260231370208,779
12000,23.999999999997577,-63927.66482411651,12343.76260704429,-51583.90221707222,300.28588164190063,48.093524275896,1.022260231370208,778
12500,24.999999999997023,-63471.625474169094,12005.113441964055,-51466.512032205035,292.04758620956795,48.093524275896,1.022260231370208,777
13000,25.99999999999647,-63853.49795970612,12460.824494975293,-51392.673464730826,303.13363830598024,48.093524275896,1.022260231370208,777
13500,26.999999999995914,-63389.103113628575,12355.535850421184,-51033.56726320739,300.57228854065266,48.093524275896,1.022260231370208,778
14000,27.99999999999536,-63423.94004595862,12457.127534526766,-50966.81251143185,303.04370259812333,48.093524275896,1.022260231370208,779
14500,28.999999999994806,-63884.29059625673,12280.831571510758,-51603.45902474597,298.7549625786127,48.093524275896,1.022260231370208,778
15000,29.99999999999425,-63948.20645506441,11967.73236306422,-51980.47409200019,291.1382192206276,48.093524275896,1.022260231370208,778
15500,30.999999999993697,-63801.19724452472,12113.618242265042,-51687.57900225968,294.68717517915536,48.093524275896,1.022260231370208,774
16000,31.999999999993143,-63668.604770972626,12277.934144217561,-51390.67062675506,298.68447705998045,48.093524275896,1.022260231370208,772
16500,32.999999999994365,-63748.24540956976,12328.992028276729,-51419.253381293034,299.9265587669575,48.093524275896,1.022260231370208,770
17000,33.99999999999559,-63316.032428872015,12374.303439845502,-50941.72898902651,301.0288464246611,48.093524275896,1.022260231370208,768
17500,34.99999999999681,-63938.12090576411,12260.965907475475,-51677.154998288635,298.27169190749396,48.093524275896,1.022260231370208,767
18000,35.99999999999803,-64160.96201496554,12352.296078972735,-51808.6659359928,300.493474838811,48.093524275896,1.022260231370208,767
18500,36.999999999999254,-63626.95017688,12187.276901229785,-51439.67327565021,296.4790644151948,48.093524275896,1.022260231370208,767
19000,38.000000000000476,-63796.1293836094,12408.049485459422,-51388.079898149976,301.849784203659,48.093524275896,1.022260231370208,767
19500,39.0000000000017,-64105.031183696934,12489.384501455846,-51615.64668224109,303.8284156602382,48.093524275896,1.022260231370208,767
20000,40.00000000000292,-64051.2390985972,12304.457804720561,-51746.781293876644,299.32971636278177,48.093524275896,1.022260231370208,768
20500,41.00000000000414,-63835.4436334371,12253.78561644671,-51581.65801699039,298.0970174511992,48.093524275896,1.022260231370208,768
21000,42.000000000005365,-63946.62893594842,11967.966660113352,-51978.66227583507,291.1439189491629,48.093524275896,1.022260231370208,769
21500,43.00000000000659,-63896.084412439086,12021.71179335191,-51874.372619087175,292.4513731859522,48.093524275896,1.022260231370208,768
22000,44.00000000000781,-63740.379191103275,12342.188766231977,-51398.190424871296,300.24759492245096,48.093524275896,1.022260231370208,767
22500,45.00000000000903,-64305.59785021178,12557.147256713828,-51748.45059349795,305.4768756438671,48.093524275896,1.022260231370208,766
23000,46.00000000001025,-64082.74315135839,12402.825861247737,-51679.91729011065,301.72270944925003,48.093524275896,1.022260231370208,767
23500,47.000000000011475,-63906.300351189275,12267.973283759173,-51638.3270674301,298.44215987843063,48.093524275896,1.022260231370208,767
24000,48.0000000000127,-63526.869566349254,11962.7644196514,-51564.10514669785,291.01736439579366,48.093524275896,1.022260231370208,767
24500,49.00000000001392,-63987.71244485909,12178.744205736008,-51808.96823912308,296.27149010655825,48.093524275896,1.022260231370208,766
25000,50.00000000001514,-64092.495651787496,12396.265085662508,-51696.230566124985,301.56310590342844,48.093524275896,1.022260231370208,765
25500,51.000000000016364,-63620.190101907414,12720.627121582804,-50899.56298032461,309.4538393068644,48.093524275896,1.022260231370208,764
26000,52.000000000017586,-63651.47070430772,12430.674766381828,-51220.7959379259,302.40018788894236,48.093524275896,1.022260231370208,764
26500,53.00000000001881,-63769.6951875019,12369.960542449482,-51399.73464505242,300.92319705218375,48.093524275896,1.022260231370208,764
27000,54.00000000002003,-63281.06002097757,12001.050898900394,-51280.00912207718,291.94875699805317,48.093524275896,1.022260231370208,764
27500,55.00000000002125,-63613.57004604029,12602.507226382511,-51011.062819657775,306.58034457119703,48.093524275896,1.022260231370208,764
28000,56.000000000022474,-63566.29411484033,12567.162475683826,-50999.131639156505,305.7205152012681,48.093524275896,1.022260231370208,763
28500,57.0000000000237,-63294.98881374556,12467.221778220295,-50827.76703552526,303.2892645846517,48.093524275896,1.022260231370208,763
29000,58.00000000002492,-64031.269723147096,12337.896001543499,-51693.373721603595,300.1431651249737,48.093524275896,1.022260231370208,763
29500,59.00000000002614,-63616.7738316849,12428.795606113958,-51187.97822557094,302.3544736836593,48.093524275896,1.022260231370208,764
30000,60.00000000002736,-63809.406355538056,12482.383053885258,-51327.0233016528,303.65809191670604,48.093524275896,1.022260231370208,764
