#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10500,20.99999999999924,-63855.62063814158,12259.454440641892,-51596.16619749969,298.2349225556242,48.093524275896,1.022260231370208,0
11000,21.999999999998685,-63771.16674967407,12515.780337948156,-51255.386411725915,304.4705453969398,48.093524275896,1.022260231370208,773
11500,22.99999999999813,-63637.75495044573,12194.235229261642,-51443.519721184086,296.64833919261207,48.093524275896,1.022260231370208,775
12000,23.999999999997577,-63656.271123113285,12462.659310957466,-51193.61181215582,303.1782737508115,48.093524275896,1.022260231370208,775
12500,24.999999999997023,-64030.71011077927,12126.199700755664,-51904.510410023606,294.9932434725493,48.093524275896,1.022260231370208,777
13000,25.99999999999647,-63953.118243432604,12146.649853895628,-51806.468389536974,295.4907329707547,48.093524275896,1.022260231370208,775
13500,26.999999999995914,-63747.28326178604,12228.796740598329,-51518.48652118771,297.48911475132957,48.093524275896,1.022260231370208,773
14000,27.99999999999536,-63597.557703532104,12207.439947914965,-51390.11775561714,296.9695694940101,48.093524275896,1.022260231370208,773
14500,28.999999999994806,-63285.920177482476,12296.893367955416,-50989.02680952706,299.1456968190285,48.093524275896,1.022260231370208,774
15000,29.99999999999425,-63137.12193720997,12363.760415627137,-50773.36152158283,300.77236698452856,48.093524275896,1.022260231370208,775
15500,30.999999999993697,-63699.79920574516,12160.285896134632,-51539.51330961053,295.8224560519738,48.093524275896,1.022260231370208,772
16000,31.999999999993143,-63552.19577716943,12503.445711788127,-51048.750065381304,304.1704817770292,48.093524275896,1.022260231370208,772
16500,32.999999999994365,-63213.98831493879,12506.329259570028,-50707.659055368764,304.2406296497249,48.093524275896,1.022260231370208,772
17000,33.99999999999559,-63536.424243358604,12637.209765526513,-50899.214477832094,307.42455090388546,48.093524275896,1.022260231370208,773
17500,34.99999999999681,-63768.20847411896,12596.470465143391,-51171.73800897557,306.433488687083,48.093524275896,1.022260231370208,773
18000,35.99999999999803,-63961.82260220952,12548.014474394906,-51413.80812781461,305.2547030634485,48.093524275896,1.022260231370208,773
18500,36.999999999999254,-63821.032242452784,12278.845476076529,-51542.18676637625,298.7066469687393,48.093524275896,1.022260231370208,774
19000,38.000000000000476,-63746.66641308123,12112.170474038794,-51634.495939042434,294.6519554190165,48.093524275896,1.022260231370208,774
19500,39.0000000000017,-64610.46773941821,12536.875231959793,-52073.592507458416,304.98371946290996,48.093524275896,1.022260231370208,775
20000,40.00000000000292,-64083.20006343606,12562.778663638945,-51520.42139979712,305.61387050088325,48.093524275896,1.022260231370208,775
20500,41.00000000000414,-63569.81720854557,12474.377340752704,-51095.43986779287,303.463337472481,48.093524275896,1.022260231370208,774
21000,42.000000000005365,-63630.51891441172,12737.836617606057,-50892.68229680566,309.872493557636,48.093524275896,1.022260231370208,775
21500,43.00000000000659,-63726.61410235014,12451.741556934574,-51274.872545415565,302.9126782839607,48.093524275896,1.022260231370208,775
22000,44.00000000000781,-63684.55601481692,12308.989058024588,-51375.56695679233,299.4399478567483,48.093524275896,1.022260231370208,775
22500,45.00000000000903,-63844.97953061125,12747.274954166873,-51097.704576444376,310.10209933551937,48.093524275896,1.022260231370208,775
23000,46.00000000001025,-63679.31254570413,12132.939746674208,-51546.37279902992,295.15720811569645,48.093524275896,1.022260231370208,774
23500,47.000000000011475,-63420.491615876614,12458.401184379514,-50962.0904314971,303.0746865923163,48.093524275896,1.022260231370208,774
24000,48.0000000000127,-63574.97681819124,12416.552616532716,-51158.42420165852,302.0566393006294,48.093524275896,1.022260231370208,774
24500,49.00000000001392,-63683.44522915303,12636.519073688989,-51046.92615546404,307.40774849006914,48.093524275896,1.022260231370208,774
25000,50.00000000001514,-63755.82379461924,12479.705185758796,-51276.118608860445,303.5929475991366,48.093524275896,1.022260231370208,774
25500,51.000000000016364,-63831.24972727115,12539.665563107243,-51291.584164163905,305.0515996608171,48.093524275896,1.022260231370208,773
26000,52.000000000017586,-63714.03206927766,12706.954259083093,-51007.07781019456,309.12122050164277,48.093524275896,1.022260231370208,773
26500,53.00000000001881,-63603.44822193013,11971.398877804324,-51632.0493441258,291.22741427778595,48.093524275896,1.022260231370208,773
27000,54.00000000002003,-63926.75714506302,12223.056290250219,-51703.7008548128,297.34946720230585,48.093524275896,1.022260231370208,774
27500,55.00000000002125,-63913.394072070485,12306.138296959645,-51607.25577511084,299.370597584308,48.093524275896,1.022260231370208,774
28000,56.000000000022474,-63709.74541926116,12172.296131370285,-51537.44928789088,296.11462823571355,48.093524275896,1.022260231370208,774
28500,57.0000000000237,-63819.57021220954,12289.107233895624,-51530.46297831392,298.9562840601189,48.093524275896,1.022260231370208,774
29000,58.00000000002492,-64093.54935292143,12206.381752829759,-51887.16760009167,296.94382685343726,48.093524275896,1.022260231370208,774
29500,59.00000000002614,-64132.61053195654,12361.260023851682,-51771.35050810486,300.7115401221978,48.093524275896,1.022260231370208,774
30000,60.00000000002736,-63387.95959232387,12278.090625848907,-51109.86896647496,298.6882837780878,48.093524275896,1.022260231370208,774
30500,61.000000000028585,-63376.12235073914,12385.377615022853,-50990.74473571629,301.29824713840213,48.093524275896,1.022260231370208,774
31000,62.00000000002981,-64007.957983497414,12189.213389608793,-51818.74459388862,296.5261732375767,48.093524275896,1.022260231370208,774
31500,63.00000000003103,-63849.193574768375,12560.130509204851,-51289.063065563525,305.54944902630695,48.093524275896,1.022260231370208,774
32000,64.00000000003224,-63820.00052281289,12310.622918081415,-51509.377604731475,299.4796946603172,48.093524275896,1.022260231370208,775
32500,65.00000000002991,-63925.530342792685,12087.950599959147,-51837.579742833535,294.0627601733859,48.093524275896,1.022260231370208,775
33000,66.00000000002758,-63934.609099664376,12250.7458929866,-51683.86320667778,298.02307030329746,48.093524275896,1.022260231370208,775
33500,67.00000000002525,-63528.17873789783,12685.400162544416,-50842.77857535342,308.59687544672266,48.093524275896,1.022260231370208,775
34000,68.00000000002292,-63410.258399850514,12287.65208014506,-51122.606319705454,298.92088463282727,48.093524275896,1.022260231370208,775
34500,69.00000000002059,-63544.74924204254,12240.436904822749,-51304.31233721979,297.7722842425017,48.093524275896,1.022260231370208,775
35000,70.00000000001826,-63528.962091289635,12519.706881601973,-51009.25520968766,304.56606615997026,48.093524275896,1.022260231370208,775
35500,71.00000000001593,-63758.22994993121,12447.543408082667,-51310.68654184854,302.81055019956773,48.093524275896,1.022260231370208,775
36000,72.0000000000136,-63792.409416051465,12609.613653125996,-51182.79576292547,306.7532221359983,48.093524275896,1.022260231370208,775
36500,73.00000000001127,-63559.23082328512,12397.697390720346,-51161.53343256477,301.59794949211084,48.093524275896,1.022260231370208,775
37000,74.00000000000894,-63815.976543446595,12391.373849871536,-51424.602693575056,301.4441171397453,48.093524275896,1.022260231370208,775
37500,75.00000000000661,-64017.20971843734,12502.208474778676,-51515.00124365867,304.1403835956229,48.093524275896,1.022260231370208,776
38000,76.00000000000428,-63963.029214301554,12269.07743906852,-51693.951775233036,298.46902059028105,48.093524275896,1.022260231370208,776
38500,77.00000000000195,-63694.52025463007,12654.395770030262,-51040.12448459981,307.8426336780442,48.093524275896,1.022260231370208,776
39000,77.99999999999962,-64093.88626506523,12364.41546289278,-51729.47080217245,300.78830227524526,48.093524275896,1.022260231370208,776
39500,78.99999999999729,-64062.511016513396,12325.126945461887,-51737.38407105151,299.83253315761766,48.093524275896,1.022260231370208,776
40000,79.99999999999496,-64193.404403938854,12385.209421004975,-51808.19498293388,301.29415549385635,48.093524275896,1.022260231370208,776
40500,80.99999999999262,-63412.66520798119,12191.862505359095,-51220.802702622095,296.5906180980277,48.093524275896,1.022260231370208,775
41000,81.9999999999903,-63609.344128454104,12213.531797754802,-51395.8123306993,297.1177655148038,48.093524275896,1.022260231370208,776
41500,82.99999999998796,-63717.969507304195,12445.115364399588,-51272.85414290461,302.7514833444078,48.093524275896,1.022260231370208,776
42000,83.99999999998563,-63344.36595129414,12263.675262278197,-51080.690689015944,298.33760219931634,48.093524275896,1.022260231370208,776
42500,84.9999999999833,-63354.90010725666,12343.804532951506,-51011.09557430515,300.2869015706219,48.093524275896,1.022260231370208,776
43000,85.99999999998097,-63595.329695683904,12363.41170241408,-51231.917993269824,300.7638838616789,48.093524275896,1.022260231370208,776
43500,86.99999999997864,-63694.76245199179,12138.506130560596,-51556.256321431196,295.2926211616284,48.093524275896,1.022260231370208,776
44000,87.99999999997631,-64202.96144141682,12396.338822621443,-51806.62261879537,301.5648996974626,48.093524275896,1.022260231370208,776
44500,88.99999999997398,-63890.218264086405,11910.55832314888,-51979.65994093753,289.7473502020344,48.093524275896,1.022260231370208,776
45000,89.99999999997165,-63996.2479985829,12234.636186268992,-51761.6118123139,297.6311705528981,48.093524275896,1.022260231370208,776
45500,90.99999999996932,-63919.82179681328,12262.666538182908,-51657.15525863037,298.3130630361835,48.093524275896,1.022260231370208,776
46000,91.99999999996699,-63958.31282351352,12229.902130821194,-51728.41069269233,297.51600550483795,48.093524275896,1.022260231370208,776
46500,92.99999999996466,-63892.42469238007,12514.704535032013,-51377.720157348056,304.4443744118496,48.093524275896,1.022260231370208,776
47000,93.99999999996233,-63894.16819586535,12392.98890568911,-51501.17929017624,301.4834064938523,48.093524275896,1.022260231370208,776
