#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10500,20.99999999999924,-63486.14083981729,12174.322325288163,-51311.81851452913,296.1639193186983,49.790669435543045,0.987415871508456,0
11000,21.999999999998685,-63290.70363222237,12421.928985204693,-50868.77464701768,302.18742985923717,49.790669435543045,0.987415871508456,670
11500,22.99999999999813,-63158.61290004291,12640.267923951898,-50518.34497609101,307.4989465179459,49.790669435543045,0.987415871508456,665
12000,23.999999999997577,-63316.727333760995,12667.460116455732,-50649.26721730526,308.16044915370867,49.790669435543045,0.987415871508456,665
12500,24.999999999997023,-63369.473707482684,12449.596359135532,-50919.87734834715,302.8604922015733,49.790669435543045,0.987415871508456,662
13000,25.99999999999647,-63442.64218094305,12591.48228545915,-50851.1598954839,306.3121415758371,49.790669435543045,0.987415871508456,662
13500,26.999999999995914,-63286.07015841338,12390.49523654454,-50895.574921868836,301.4227431725103,49.790669435543045,0.987415871508456,661
14000,27.99999999999536,-62885.30160911678,12556.556406519432,-50328.74520259735,305.4625020709793,49.790669435543045,0.987415871508456,661
14500,28.999999999994806,-63178.47342706582,12630.879638473563,-50547.59378859226,307.2705583293753,49.790669435543045,0.987415871508456,661
15000,29.99999999999425,-63141.15851786308,12598.066844405006,-50543.09167345807,306.47232369787105,49.790669435543045,0.987415871508456,662
15500,30.999999999993697,-62888.14583026263,12252.461111670971,-50635.684718591656,298.06479631271947,49.790669435543045,0.987415871508456,661
16000,31.999999999993143,-63376.36636593618,12647.145068059077,-50729.2212978771,307.666246339495,49.790669435543045,0.987415871508456,661
16500,32.999999999994365,-62643.142680156976,12407.5565360235,-50235.58614413348,301.83779225592934,49.790669435543045,0.987415871508456,662
17000,33.99999999999559,-62906.60033712158,12605.18565254309,-50301.414684578485,306.6455024640249,49.790669435543045,0.987415871508456,662
17500,34.99999999999681,-63140.3578765135,12268.221691280807,-50872.136185232695,298.44820287148025,49.790669435543045,0.987415871508456,662
18000,35.99999999999803,-63239.803979024524,12311.719281417665,-50928.08469760686,299.5063658173628,49.790669435543045,0.987415871508456,663
18500,36.999999999999254,-63123.72828983824,12369.154287703026,-50754.57400213521,300.90358334726454,49.790669435543045,0.987415871508456,663
19000,38.000000000000476,-63137.044444802625,12171.776945496313,-50965.26749930631,296.10199803592235,49.790669435543045,0.987415871508456,663
19500,39.0000000000017,-63347.57240009587,12391.27874603725,-50956.29365405862,301.4418035551734,49.790669435543045,0.987415871508456,664
20000,40.00000000000292,-63144.38982130401,12133.942942631944,-51010.44687867207,295.1816127961993,49.790669435543045,0.987415871508456,664
20500,41.00000000000414,-63291.90160721989,12159.93956260536,-51131.96204461453,295.8140308195313,49.790669435543045,0.987415871508456,664
21000,42.000000000005365,-63480.96904749295,12103.073189948016,-51377.895857544936,294.4306464016033,49.790669435543045,0.987415871508456,664
21500,43.00000000000659,-63524.37322331924,12293.910035826837,-51230.46318749241,299.07312149925133,49.790669435543045,0.987415871508456,664
22000,44.00000000000781,-63262.02943712898,12210.912613288094,-51051.116823840886,297.05404879067305,49.790669435543045,0.987415871508456,664
22500,45.00000000000903,-63362.557936898666,12343.529757527427,-51019.028179371235,300.28021712738536,49.790669435543045,0.987415871508456,664
23000,46.00000000001025,-63279.69137749431,12479.735082542466,-50799.956294951844,303.59367489617955,49.790669435543045,0.987415871508456,664
23500,47.000000000011475,-63119.83628693636,12675.574580462684,-50444.26170647368,308.35784917313134,49.790669435543045,0.987415871508456,663
