#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10500,20.99999999999924,-64277.98239840387,12246.142131237477,-52031.84026716639,297.9110749012702,48.093524275896,1.022260231370208,0
11000,21.999999999998685,-63682.93306539551,12053.399332344805,-51629.5337330507,293.22223381301205,48.093524275896,1.022260231370208,770
11500,22.99999999999813,-63460.75659292267,12041.005680220765,-51419.7509127019,292.9207342724501,48.093524275896,1.022260231370208,761
12000,23.999999999997577,-63690.223817443184,12635.049752324214,-51055.17406511897,307.37200440818077,48.093524275896,1.022260231370208,769
12500,24.999999999997023,-63834.846452900674,12631.932139491075,-51202.9143134096,307.2961624507469,48.093524275896,1.022260231370208,771
13000,25.99999999999647,-63395.84980050026,12476.271021390006,-50919.578779110256,303.5094049138134,48.093524275896,1.022260231370208,769
13500,26.999999999995914,-63856.84541765932,12334.241250401034,-51522.60416725829,300.05425624006284,48.093524275896,1.022260231370208,767
14000,27.99999999999536,-63692.324171595275,12550.318843062116,-51142.00532853316,305.3107612848264,48.093524275896,1.022260231370208,765
14500,28.999999999994806,-63906.54555663222,12403.46758708329,-51503.07796954893,301.7383206704341,48.093524275896,1.022260231370208,767
15000,29.99999999999425,-63728.08367557591,12250.729935148705,-51477.35374042721,298.02268209804964,48.093524275896,1.022260231370208,767
15500,30.999999999993697,-63612.72412778484,12335.451853145085,-51277.27227463975,300.0837064914884,48.093524275896,1.022260231370208,764
16000,31.999999999993143,-63552.649094694,12117.506216296955,-51435.14287839705,294.7817576615913,48.093524275896,1.022260231370208,764
16500,32.999999999994365,-63889.485844293435,12342.739947273267,-51546.74589702017,300.26100346652265,48.093524275896,1.022260231370208,764
17000,33.99999999999559,-63331.991714483185,12092.00311642676,-51239.98859805643,294.16134546857387,48.093524275896,1.022260231370208,764
17500,34.99999999999681,-63326.16214043886,12244.396294271033,-51081.76584616782,297.86860404296215,48.093524275896,1.022260231370208,764
18000,35.99999999999803,-63673.611285946565,12069.056081254159,-51604.555204692406,293.60311448931475,48.093524275896,1.022260231370208,764
18500,36.999999999999254,-63819.4150337365,12172.197157285416,-51647.21787645108,296.11222049981643,48.093524275896,1.022260231370208,764
19000,38.000000000000476,-63801.204287937144,12004.632572880708,-51796.57171505644,292.0358881397618,48.093524275896,1.022260231370208,764
19500,39.0000000000017,-63642.74347153166,12202.953939540796,-51439.78953199087,296.8604386704052,48.093524275896,1.022260231370208,763
20000,40.00000000000292,-63824.92312613386,12564.210944742239,-51260.71218139162,305.6487135068251,48.093524275896,1.022260231370208,764
20500,41.00000000000414,-63574.02006047551,12260.910373084966,-51313.10968739054,298.27034092611603,48.093524275896,1.022260231370208,763
21000,42.000000000005365,-63896.917462112324,12459.447766997244,-51437.46969511508,303.10014673717495,48.093524275896,1.022260231370208,764
21500,43.00000000000659,-63695.82052519446,12322.602937459373,-51373.21758773509,299.77113178492164,48.093524275896,1.022260231370208,764
22000,44.00000000000781,-63581.25034891447,12141.139761505532,-51440.11058740894,295.35668932426205,48.093524275896,1.022260231370208,765
22500,45.00000000000903,-63817.032744525466,12299.635521595259,-51517.39722293021,299.2124050059527,48.093524275896,1.022260231370208,766
23000,46.00000000001025,-63644.386310049216,12310.21861219594,-51334.16769785328,299.4698591382695,48.093524275896,1.022260231370208,766
23500,47.000000000011475,-63666.77005998226,12346.23833140168,-51320.53172858058,300.3461084216134,48.093524275896,1.022260231370208,767
24000,48.0000000000127,-63578.436196595954,12155.186342775161,-51423.249853820795,295.6983995608311,48.093524275896,1.022260231370208,768
24500,49.00000000001392,-63913.43845640129,12524.28223645313,-51389.156219948156,304.6773705093038,48.093524275896,1.022260231370208,768
25000,50.00000000001514,-63904.120746244385,12381.699475234094,-51522.42127101029,301.2087692794681,48.093524275896,1.022260231370208,768
25500,51.000000000016364,-63908.26840288268,12439.894412166013,-51468.37399071666,302.6244735910305,48.093524275896,1.022260231370208,768
26000,52.000000000017586,-63473.607526741514,12263.947946204082,-51209.65958053743,298.3442357628172,48.093524275896,1.022260231370208,769
26500,53.00000000001881,-63549.58054013166,12442.819544343998,-51106.76099578766,302.69563308452916,48.093524275896,1.022260231370208,769
27000,54.00000000002003,-63537.062869994785,11981.318106706141,-51555.74476328865,291.46871869126284,48.093524275896,1.022260231370208,770
27500,55.00000000002125,-63873.138350589375,12252.048120714753,-51621.09022987462,298.0547495095407,48.093524275896,1.022260231370208,770
